,College Name,Count
0,Alabama,58
1,Florida,45
2,Ohio State,43
3,Florida State,38
4,Georgia,36
6,Clemson,35
5,Penn State,35
7,Michigan,33
8,Oklahoma,33
9,Auburn,33
10,Louisiana State,33
11,Stanford,32
12,Wisconsin,31
13,UCLA,31
14,Notre Dame,31
16,Oregon,30
18,Washington,30
15,Texas,30
17,Iowa,30
19,California,28
20,Miami,28
21,USC,26
22,Tennessee,26
23,Texas A&M,26
24,Louisville,25
25,Mississippi,25
26,South Carolina,25
27,Utah,24
28,Michigan State,24
29,Southern California,24
30,Pittsburgh,23
31,North Carolina,23
33,Arkansas,22
34,Illinois,22
32,Nebraska,22
35,Missouri,21
36,Virginia Tech,21
37,Oregon State,21
38,West Virginia,20
39,North Carolina State,19
40,Central Florida,19
41,LSU,18
42,Cincinnati,18
43,Boston College,17
44,Maryland,17
45,Boise State,17
46,Virginia,17
47,Rutgers,17
48,Southern Mississippi,16
50,Temple,15
